[2022-02-24 13:45:02,314] [DEBUG] [BusServiceImpl.java:46] - <itemList><arsId>09543</arsId><beginTm>05:24</beginTm><busRouteId>108900007</busRouteId><busRouteNm>강북06</busRouteNm><direction>미아사거리역</direction><gpsX>127.0321875376</gpsX><gpsY>37.6236275055</gpsY><lastTm>23:51</lastTm><posX>202841.1332605493</posX><posY>458230.28190383175</posY><routeType>2</routeType><sectSpd>15</sectSpd><section>108600222</section><seq>10</seq><station>108900127</station><stationNm>동성마트</stationNm><stationNo>09543</stationNo><transYn>N</transYn><fullSectDist>117</fullSectDist><trnstnid>108900168</trnstnid></itemList>
[2022-02-24 13:45:02,314] [DEBUG] [BusServiceImpl.java:46] - <itemList><arsId>09550</arsId><beginTm>05:24</beginTm><busRouteId>108900007</busRouteId><busRouteNm>강북06</busRouteNm><direction>미아사거리역</direction><gpsX>127.0323753581</gpsX><gpsY>37.623077793</gpsY><lastTm>23:52</lastTm><posX>202857.7328667366</posX><posY>458169.2818966019</posY><routeType>2</routeType><sectSpd>15</sectSpd><section>108600223</section><seq>11</seq><station>108900122</station><stationNm>동성주택</stationNm><stationNo>09550</stationNo><transYn>N</transYn><fullSectDist>68</fullSectDist><trnstnid>108900168</trnstnid></itemList>
[2022-02-24 13:45:02,314] [DEBUG] [BusServiceImpl.java:46] - <itemList><arsId>09556</arsId><beginTm>05:24</beginTm><busRouteId>108900007</busRouteId><busRouteNm>강북06</busRouteNm><direction>미아사거리역</direction><gpsX>127.0326717873</gpsX><gpsY>37.6221991545</gpsY><lastTm>23:52</lastTm><posX>202883.9322505609</posX><posY>458071.7818864351</posY><routeType>2</routeType><sectSpd>17</sectSpd><section>108601474</section><seq>12</seq><station>108900119</station><stationNm>제일슈퍼</stationNm><stationNo>09556</stationNo><transYn>N</transYn><fullSectDist>102</fullSectDist><trnstnid>108900168</trnstnid></itemList>
[2022-02-24 13:45:02,314] [DEBUG] [BusServiceImpl.java:46] - <itemList><arsId>09563</arsId><beginTm>05:25</beginTm><busRouteId>108900007</busRouteId><busRouteNm>강북06</busRouteNm><direction>미아사거리역</direction><gpsX>127.0329273916</gpsX><gpsY>37.62124033</gpsY><lastTm>23:52</lastTm><posX>202906.53172313946</posX><posY>457965.3818709608</posY><routeType>2</routeType><sectSpd>11</sectSpd><section>108601113</section><seq>13</seq><station>108900117</station><stationNm>홈빌라트</stationNm><stationNo>09563</stationNo><transYn>N</transYn><fullSectDist>93</fullSectDist><trnstnid>108900168</trnstnid></itemList>
[2022-02-24 13:45:02,314] [DEBUG] [BusServiceImpl.java:46] - <itemList><arsId>09571</arsId><beginTm>05:25</beginTm><busRouteId>108900007</busRouteId><busRouteNm>강북06</busRouteNm><direction>미아사거리역</direction><gpsX>127.0331749954</gpsX><gpsY>37.6201373335</gpsY><lastTm>23:53</lastTm><posX>202928.43120891292</posX><posY>457842.9818472862</posY><routeType>2</routeType><sectSpd>18</sectSpd><section>108601114</section><seq>14</seq><station>108900114</station><stationNm>꿈의숲해링턴아파트101동앞</stationNm><stationNo>09571</stationNo><transYn>N</transYn><fullSectDist>137</fullSectDist><trnstnid>108900168</trnstnid></itemList>
[2022-02-24 13:45:02,314] [DEBUG] [BusServiceImpl.java:46] - <itemList><arsId>09580</arsId><beginTm>05:26</beginTm><busRouteId>108900007</busRouteId><busRouteNm>강북06</busRouteNm><direction>미아사거리역</direction><gpsX>127.0334938295</gpsX><gpsY>37.6187450681</gpsY><lastTm>23:53</lastTm><posX>202956.63054606802</posX><posY>457688.48183510266</posY><routeType>2</routeType><sectSpd>18</sectSpd><section>108601115</section><seq>15</seq><station>108900109</station><stationNm>꿈의숲해링턴아파트105동앞</stationNm><stationNo>09580</stationNo><transYn>N</transYn><fullSectDist>164</fullSectDist><trnstnid>108900168</trnstnid></itemList>
[2022-02-24 13:45:02,314] [DEBUG] [BusServiceImpl.java:46] - <itemList><arsId>09588</arsId><beginTm>05:26</beginTm><busRouteId>108900007</busRouteId><busRouteNm>강북06</busRouteNm><direction>미아사거리역</direction><gpsX>127.0338667023</gpsX><gpsY>37.6167443949</gpsY><lastTm>23:54</lastTm><posX>202989.62558709463</posX><posY>457466.4641801608</posY><routeType>2</routeType><sectSpd>21</sectSpd><section>108601804</section><seq>16</seq><station>108900103</station><stationNm>꿈의숲해링턴아파트108동앞</stationNm><stationNo>09588</stationNo><transYn>N</transYn><fullSectDist>252</fullSectDist><trnstnid>108900168</trnstnid></itemList>
[2022-02-24 13:45:02,314] [DEBUG] [BusServiceImpl.java:46] - <itemList><arsId>09245</arsId><beginTm>05:27</beginTm><busRouteId>108900007</busRouteId><busRouteNm>강북06</busRouteNm><direction>미아사거리역</direction><gpsX>127.0316486841</gpsX><gpsY>37.6165541394</gpsY><lastTm>23:54</lastTm><posX>202793.8343644376</posX><posY>457445.28179988544</posY><routeType>2</routeType><sectSpd>12</sectSpd><section>108601805</section><seq>17</seq><station>108000157</station><stationNm>송중초등학교</stationNm><stationNo>09245</stationNo><transYn>N</transYn><fullSectDist>235</fullSectDist><trnstnid>108900168</trnstnid></itemList>
[2022-02-24 13:45:02,314] [DEBUG] [BusServiceImpl.java:46] - <itemList><arsId>09277</arsId><beginTm>05:28</beginTm><busRouteId>108900007</busRouteId><busRouteNm>강북06</busRouteNm><direction>미아사거리역</direction><gpsX>127.0307561737</gpsX><gpsY>37.614709413</gpsY><lastTm>23:56</lastTm><posX>202715.11376455505</posX><posY>457240.53278729925</posY><routeType>2</routeType><sectSpd>8</sectSpd><section>108602369</section><seq>18</seq><station>108000189</station><stationNm>롯데백화점미아점</stationNm><stationNo>09277</stationNo><transYn>N</transYn><fullSectDist>299</fullSectDist><trnstnid>108900168</trnstnid></itemList>
[2022-02-24 13:45:02,314] [DEBUG] [BusServiceImpl.java:46] - <itemList><arsId>09579</arsId><beginTm>05:29</beginTm><busRouteId>108900007</busRouteId><busRouteNm>강북06</busRouteNm><direction>미아사거리역</direction><gpsX>127.030388681</gpsX><gpsY>37.612881651</gpsY><lastTm>23:58</lastTm><posX>202682.73766413634</posX><posY>457037.68212550133</posY><routeType>2</routeType><sectSpd>11</sectSpd><section>108602370</section><seq>19</seq><station>108900168</station><stationNm>미아사거리전철역</stationNm><stationNo>09579</stationNo><transYn>Y</transYn><fullSectDist>191</fullSectDist><trnstnid>108900168</trnstnid></itemList>
